All students,"Semester 1 
(Term 1 and 2)","Semester 2 
(Term 3 and 4)",Full year
Number of suspensions
Actual harm,"8,991","7,540","16,531"
"Unacceptable risk to health 
and safety / wellbeing","20,245","22,879","43,124"
Unknown / Not available,80,79,159
Total suspensions,"29,316","30,498","59,814"
Number of students suspended
Actual harm,"7,507","6,458","12,546"
"Unacceptable risk to health 
and safety / wellbeing","14,806","16,916","26,264"
Unknown / Not available,70,67,134
All students,"20,233","21,712","33,903"
Suspension rate
Actual harm,1.0%,0.8%,1.6%
"Unacceptable risk to health 
and safety / wellbeing",1.9%,2.2%,3.3%
Unknown / Not available,0.0%,0.0%,0.0%
All students,2.6%,2.8%,4.3%
