Primary students,Semester 1,Semester 2
(Term 1 and 2),(Term 3 and 4),Full year
Number of suspensions (Primary students)
Actual harm,"2,858","2,767","5,625"
"Unacceptable risk to health 
and safety / wellbeing","3,354","4,053","7,407"
Unknown / Not available,20,7,27
Total suspensions,"6,232","6,827","13,059"
Number of students suspended (Primary students)
Actual harm,"2,181","2,188","3,782"
"Unacceptable risk to health 
and safety / wellbeing","2,481","3,030","4,723"
Unknown / Not available,19,7,26
All students,"4,093","4,685","7,138"
Suspension rate (Primary students)
Actual harm,0.5%,0.5%,0.8%
"Unacceptable risk to health 
and safety / wellbeing",0.5%,0.6%,1.0%
0.5%,0.6%,1.0%
Unknown / Not available,0.0%,0.0%,0.0%
All students,0.9%,1.0%,1.5%
