Suspension descriptor,Number of suspensions
Aggressive behaviour,"8,391"
Assault,590
Bullying,58
Cyber bullying,27
Misuse of technology,66
"Other – continuing, persistent behaviour posing unacceptable 
risk to another person's learning and/or wellbeing",440
"Other – destruction of property that poses unacceptable risk 
to health and safety",83
Physical violence,"6,184"
"Possession, supply or use of a suspected drug or 
illegal substance",193
Psychological abuse,60
Racism or discrimination,23
Serious behaviours of concern – pending expulsion decision,32
Serious criminal behaviour related to the school,93
Use of implement as a weapon,69
"Use or possession of a prohibited weapon, firearm or knife",44
Verbal abuse,178
